"","V","W","delta1","delta2","delta3","R"
"1",0.108132201702175,0.61,TRUE,FALSE,FALSE,0.111800138815306
"2",0.0759727883187681,0,FALSE,TRUE,FALSE,0.0759254580829292
"3",0.0558152066735216,0.179566180091597,TRUE,FALSE,TRUE,0.0582700793165714
"4",0.384347912473255,0,FALSE,TRUE,FALSE,0.0741204776335508
"5",0.195312358997135,0,FALSE,TRUE,FALSE,0.121109235240147
"6",0.10331055680522,0.255737493070774,TRUE,FALSE,FALSE,0.0670840542530641
"7",0.182017648849008,0.61,TRUE,FALSE,FALSE,0.129873710079119
"8",0.212003404041752,0,FALSE,FALSE,FALSE,0.100561735685915
"9",0.153473191489887,0,FALSE,TRUE,FALSE,0.0616963613312691
"10",0.0849878121651577,0.445750018141648,TRUE,FALSE,FALSE,0.0751574198249727
"11",0.189716832843474,0,FALSE,TRUE,FALSE,0.0988423862494528
"12",0.236725670724861,0,FALSE,FALSE,FALSE,0.0943324648076668
"13",0.113692565513412,0.318074038760473,TRUE,FALSE,TRUE,0.0794635738711804
"14",0.310112495592335,0,FALSE,TRUE,FALSE,0.0557986270170659
"15",0.15460517720785,0,FALSE,FALSE,FALSE,0.105265509546734
"16",0.062812360963376,0.206772114965133,TRUE,FALSE,FALSE,0.117867147433572
"17",0.0506600529453426,0.124592694143216,TRUE,FALSE,TRUE,0.0790095480624586
"18",0.266582067464554,0.288674800097942,TRUE,FALSE,FALSE,0.0742039106786251
"19",0.30735335604012,0.61,TRUE,FALSE,FALSE,0.146052106283605
"20",0.330480666637026,0,FALSE,TRUE,FALSE,0.117811894300394
"21",0.264435222050959,0.330537254754178,TRUE,FALSE,TRUE,0.0638968938263133
"22",0.0540903690136974,0.131994080520235,TRUE,FALSE,FALSE,0.129550178325735
"23",0.210719804592957,0,FALSE,TRUE,FALSE,0.0749942960450426
"24",0.144479651540124,0.61,TRUE,FALSE,FALSE,0.124801827757619
"25",0.298494030465372,0,FALSE,FALSE,FALSE,0.0758190012769774
